[0,0,NORMAL]	[1,0,NORMAL]	[2,0,NORMAL]	[3,0,NORMAL]	[4,0,NORMAL]	[5,0,NORMAL]	[6,0,NORMAL]	[7,0,NORMAL]	[8,0,NORMAL]	[9,0,NORMAL]	[10,0,NORMAL]	[11,0,NORMAL]	[12,0,NORMAL]	[13,0,NORMAL]	[14,0,NORMAL]	[15,0,NORMAL]	[16,0,NORMAL]	[17,0,NORMAL]	[18,0,NORMAL]	[19,0,NORMAL]	[20,0,NORMAL]	[21,0,NORMAL]	[22,0,NORMAL]	[23,0,NORMAL]	[24,0,NORMAL]	[25,0,NORMAL]	[26,0,NORMAL]	[27,0,NORMAL]	[28,0,NORMAL]	[29,0,NORMAL]	[30,0,NORMAL]	[31,0,NORMAL]	[32,0,NORMAL]	[33,0,NORMAL]	[34,0,NORMAL]	[35,0,NORMAL]	[36,0,NORMAL]	[37,0,NORMAL]	[38,0,NORMAL]	[39,0,NORMAL]	[40,0,NORMAL]	[41,0,NORMAL]	[42,0,NORMAL]	[43,0,NORMAL]	[44,0,NORMAL]
[0,24,NORMAL]	[1,24,NORMAL]	[2,24,NORMAL]	[3,24,NORMAL]	[4,24,NORMAL]	[5,24,NORMAL]	[6,24,NORMAL]	[7,24,NORMAL]	[8,24,NORMAL]	[9,24,NORMAL]	[10,24,NORMAL]	[11,24,NORMAL]	[12,24,NORMAL]	[13,24,NORMAL]	[14,24,NORMAL]	[15,24,NORMAL]	[16,24,NORMAL]	[17,24,NORMAL]	[18,24,NORMAL]	[19,24,NORMAL]	[20,24,NORMAL]	[21,24,NORMAL]	[22,24,NORMAL]	[23,24,NORMAL]	[24,24,NORMAL]	[25,24,NORMAL]	[26,24,NORMAL]	[27,24,NORMAL]	[28,24,NORMAL]	[29,24,NORMAL]	[30,24,NORMAL]	[31,24,NORMAL]	[32,24,NORMAL]	[33,24,NORMAL]	[34,24,NORMAL]	[35,24,NORMAL]	[36,24,NORMAL]	[37,24,NORMAL]	[38,24,NORMAL]	[39,24,NORMAL]	[40,24,NORMAL]	[41,24,NORMAL]	[42,24,NORMAL]	[43,24,NORMAL]	[44,24,NORMAL]
[0,25,NORMAL]	[1,25,NORMAL]	[2,25,NORMAL]	[3,25,NORMAL]	[4,25,NORMAL]	[5,25,NORMAL]	[6,25,NORMAL]	[7,25,NORMAL]	[8,25,NORMAL]	[9,25,NORMAL]	[10,25,NORMAL]	[11,25,NORMAL]	[12,25,NORMAL]	[13,25,NORMAL]	[14,25,NORMAL]	[15,25,NORMAL]	[16,25,NORMAL]	[17,25,NORMAL]	[18,25,NORMAL]	[19,25,NORMAL]	[20,25,NORMAL]	[21,25,NORMAL]	[22,25,NORMAL]	[23,25,NORMAL]	[24,25,NORMAL]	[25,25,NORMAL]	[26,25,NORMAL]	[27,25,NORMAL]	[28,25,NORMAL]	[29,25,NORMAL]	[30,25,NORMAL]	[31,25,NORMAL]	[32,25,NORMAL]	[33,25,NORMAL]	[34,25,NORMAL]	[35,25,NORMAL]	[36,25,NORMAL]	[37,25,NORMAL]	[38,25,NORMAL]	[39,25,NORMAL]	[40,25,NORMAL]	[41,25,NORMAL]	[42,25,NORMAL]	[43,25,NORMAL]	[44,25,NORMAL]
[0,26,NORMAL]	[1,26,NORMAL]	[2,26,NORMAL]	[3,26,NORMAL]	[4,26,NORMAL]	[5,26,NORMAL]	[6,26,NORMAL]	[7,26,NORMAL]	[8,26,NORMAL]	[9,26,NORMAL]	[10,26,NORMAL]	[11,26,NORMAL]	[12,26,NORMAL]	[13,26,NORMAL]	[14,26,NORMAL]	[15,26,NORMAL]	[16,26,NORMAL]	[17,26,NORMAL]	[18,26,NORMAL]	[19,26,NORMAL]	[20,26,NORMAL]	[21,26,NORMAL]	[22,26,NORMAL]	[23,26,NORMAL]	[24,26,NORMAL]	[25,26,NORMAL]	[26,26,NORMAL]	[27,26,NORMAL]	[28,26,NORMAL]	[29,26,NORMAL]	[30,26,NORMAL]	[31,26,NORMAL]	[32,26,NORMAL]	[33,26,NORMAL]	[34,26,NORMAL]	[35,26,NORMAL]	[36,26,NORMAL]	[37,26,NORMAL]	[38,26,NORMAL]	[39,26,NORMAL]	[40,26,NORMAL]	[41,26,NORMAL]	[42,26,NORMAL]	[43,26,NORMAL]	[44,26,NORMAL]
[0,27,NORMAL]	[1,27,NORMAL]	[2,27,NORMAL]	[3,27,NORMAL]	[4,27,NORMAL]	[5,27,NORMAL]	[6,27,NORMAL]	[7,27,NORMAL]	[8,27,NORMAL]	[9,27,NORMAL]	[10,27,NORMAL]	[11,27,NORMAL]	[12,27,NORMAL]	[13,27,NORMAL]	[14,27,NORMAL]	[15,27,NORMAL]	[16,27,NORMAL]	[17,27,NORMAL]	[18,27,NORMAL]	[19,27,NORMAL]	[20,27,NORMAL]	[21,27,NORMAL]	[22,27,NORMAL]	[23,27,NORMAL]	[24,27,NORMAL]	[25,27,NORMAL]	[26,27,NORMAL]	[27,27,NORMAL]	[28,27,NORMAL]	[29,27,NORMAL]	[30,27,NORMAL]	[31,27,NORMAL]	[32,27,NORMAL]	[33,27,NORMAL]	[34,27,NORMAL]	[35,27,NORMAL]	[36,27,NORMAL]	[37,27,NORMAL]	[38,27,NORMAL]	[39,27,NORMAL]	[40,27,NORMAL]	[41,27,NORMAL]	[42,27,NORMAL]	[43,27,NORMAL]	[44,27,NORMAL]
[0,28,NORMAL]	[1,28,NORMAL]	[2,28,NORMAL]	[3,28,NORMAL]	[4,28,NORMAL]	[5,28,NORMAL]	[6,28,NORMAL]	[7,28,NORMAL]	[8,28,NORMAL]	[9,28,NORMAL]	[10,28,NORMAL]	[11,28,NORMAL]	[12,28,NORMAL]	[13,28,NORMAL]	[14,28,NORMAL]	[15,28,NORMAL]	[16,28,NORMAL]	[17,28,NORMAL]	[18,28,NORMAL]	[19,28,NORMAL]	[20,28,NORMAL]	[21,28,NORMAL]	[22,28,NORMAL]	[23,28,NORMAL]	[24,28,NORMAL]	[25,28,NORMAL]	[26,28,NORMAL]	[27,28,NORMAL]	[28,28,NORMAL]	[29,28,NORMAL]	[30,28,NORMAL]	[31,28,NORMAL]	[32,28,NORMAL]	[33,28,NORMAL]	[34,28,NORMAL]	[35,28,NORMAL]	[36,28,NORMAL]	[37,28,NORMAL]	[38,28,NORMAL]	[39,28,NORMAL]	[40,28,NORMAL]	[41,28,NORMAL]	[42,28,NORMAL]	[43,28,NORMAL]	[44,28,NORMAL]
[0,29,NORMAL]	[1,29,NORMAL]	[2,29,NORMAL]	[3,29,NORMAL]	[4,29,NORMAL]	[5,29,NORMAL]	[6,29,NORMAL]	[7,29,NORMAL]	[8,29,NORMAL]	[9,29,NORMAL]	[10,29,NORMAL]	[11,29,NORMAL]	[12,29,NORMAL]	[13,29,NORMAL]	[14,29,NORMAL]	[15,29,NORMAL]	[16,29,NORMAL]	[17,29,NORMAL]	[18,29,NORMAL]	[19,29,NORMAL]	[20,29,NORMAL]	[21,29,NORMAL]	[22,29,NORMAL]	[23,29,NORMAL]	[24,29,NORMAL]	[25,29,NORMAL]	[26,29,NORMAL]	[27,29,NORMAL]	[28,29,NORMAL]	[29,29,NORMAL]	[30,29,NORMAL]	[31,29,NORMAL]	[32,29,NORMAL]	[33,29,NORMAL]	[34,29,NORMAL]	[35,29,NORMAL]	[36,29,NORMAL]	[37,29,NORMAL]	[38,29,NORMAL]	[39,29,NORMAL]	[40,29,NORMAL]	[41,29,NORMAL]	[42,29,NORMAL]	[43,29,NORMAL]	[44,29,NORMAL]
[0,30,NORMAL]	[1,30,NORMAL]	[2,30,NORMAL]	[3,30,NORMAL]	[4,30,NORMAL]	[5,30,NORMAL]	[6,30,NORMAL]	[7,30,NORMAL]	[8,30,NORMAL]	[9,30,NORMAL]	[10,30,NORMAL]	[11,30,NORMAL]	[12,30,NORMAL]	[13,30,NORMAL]	[14,30,NORMAL]	[15,30,NORMAL]	[16,30,NORMAL]	[17,30,NORMAL]	[18,30,NORMAL]	[19,30,NORMAL]	[20,30,NORMAL]	[21,30,NORMAL]	[22,30,NORMAL]	[23,30,NORMAL]	[24,30,NORMAL]	[25,30,NORMAL]	[26,30,NORMAL]	[27,30,NORMAL]	[28,30,NORMAL]	[29,30,NORMAL]	[30,30,NORMAL]	[31,30,NORMAL]	[32,30,NORMAL]	[33,30,NORMAL]	[34,30,NORMAL]	[35,30,NORMAL]	[36,30,NORMAL]	[37,30,NORMAL]	[38,30,NORMAL]	[39,30,NORMAL]	[40,30,NORMAL]	[41,30,NORMAL]	[42,30,NORMAL]	[43,30,NORMAL]	[44,30,NORMAL]
[0,31,NORMAL]	[1,31,NORMAL]	[2,31,NORMAL]	[3,31,NORMAL]	[4,31,NORMAL]	[5,31,NORMAL]	[6,31,NORMAL]	[7,31,NORMAL]	[8,31,NORMAL]	[9,31,NORMAL]	[10,31,NORMAL]	[11,31,NORMAL]	[12,31,NORMAL]	[13,31,NORMAL]	[14,31,NORMAL]	[15,31,NORMAL]	[16,31,NORMAL]	[17,31,NORMAL]	[18,31,NORMAL]	[19,31,NORMAL]	[20,31,NORMAL]	[21,31,NORMAL]	[22,31,NORMAL]	[23,31,NORMAL]	[24,31,NORMAL]	[25,31,NORMAL]	[26,31,NORMAL]	[27,31,NORMAL]	[28,31,NORMAL]	[29,31,NORMAL]	[30,31,NORMAL]	[31,31,NORMAL]	[32,31,NORMAL]	[33,31,NORMAL]	[34,31,NORMAL]	[35,31,NORMAL]	[36,31,NORMAL]	[37,31,NORMAL]	[38,31,NORMAL]	[39,31,NORMAL]	[40,31,NORMAL]	[41,31,NORMAL]	[42,31,NORMAL]	[43,31,NORMAL]	[44,31,NORMAL]
[0,32,NORMAL]	[1,32,NORMAL]	[2,32,NORMAL]	[3,32,NORMAL]	[4,32,NORMAL]	[5,32,NORMAL]	[6,32,NORMAL]	[7,32,NORMAL]	[8,32,NORMAL]	[9,32,NORMAL]	[10,32,NORMAL]	[11,32,NORMAL]	[12,32,NORMAL]	[13,32,NORMAL]	[14,32,NORMAL]	[15,32,NORMAL]	[16,32,NORMAL]	[17,32,NORMAL]	[18,32,NORMAL]	[19,32,NORMAL]	[20,32,NORMAL]	[21,32,NORMAL]	[22,32,NORMAL]	[23,32,NORMAL]	[24,32,NORMAL]	[25,32,NORMAL]	[26,32,NORMAL]	[27,32,NORMAL]	[28,32,NORMAL]	[29,32,NORMAL]	[30,32,NORMAL]	[31,32,NORMAL]	[32,32,NORMAL]	[33,32,NORMAL]	[34,32,NORMAL]	[35,32,NORMAL]	[36,32,NORMAL]	[37,32,NORMAL]	[38,32,NORMAL]	[39,32,NORMAL]	[40,32,NORMAL]	[41,32,NORMAL]	[42,32,NORMAL]	[43,32,NORMAL]	[44,32,NORMAL]
[0,33,NORMAL]	[1,33,NORMAL]	[2,33,NORMAL]	[3,33,NORMAL]	[4,33,NORMAL]	[5,33,NORMAL]	[6,33,NORMAL]	[7,33,NORMAL]	[8,33,NORMAL]	[9,33,NORMAL]	[10,33,NORMAL]	[11,33,NORMAL]	[12,33,NORMAL]	[13,33,NORMAL]	[14,33,NORMAL]	[15,33,NORMAL]	[16,33,NORMAL]	[17,33,NORMAL]	[18,33,NORMAL]	[19,33,NORMAL]	[20,33,NORMAL]	[21,33,NORMAL]	[22,33,NORMAL]	[23,33,NORMAL]	[24,33,NORMAL]	[25,33,NORMAL]	[26,33,NORMAL]	[27,33,NORMAL]	[28,33,NORMAL]	[29,33,NORMAL]	[30,33,NORMAL]	[31,33,NORMAL]	[32,33,NORMAL]	[33,33,NORMAL]	[34,33,NORMAL]	[35,33,NORMAL]	[36,33,NORMAL]	[37,33,NORMAL]	[38,33,NORMAL]	[39,33,NORMAL]	[40,33,NORMAL]	[41,33,NORMAL]	[42,33,NORMAL]	[43,33,NORMAL]	[44,33,NORMAL]
[0,34,NORMAL]	[1,34,NORMAL]	[2,34,NORMAL]	[3,34,NORMAL]	[4,34,NORMAL]	[5,34,NORMAL]	[6,34,NORMAL]	[7,34,NORMAL]	[8,34,NORMAL]	[9,34,NORMAL]	[10,34,NORMAL]	[11,34,NORMAL]	[12,34,NORMAL]	[13,34,NORMAL]	[14,34,NORMAL]	[15,34,NORMAL]	[16,34,NORMAL]	[17,34,NORMAL]	[18,34,NORMAL]	[19,34,NORMAL]	[20,34,NORMAL]	[21,34,NORMAL]	[22,34,NORMAL]	[23,34,NORMAL]	[24,34,NORMAL]	[25,34,NORMAL]	[26,34,NORMAL]	[27,34,NORMAL]	[28,34,NORMAL]	[29,34,NORMAL]	[30,34,NORMAL]	[31,34,NORMAL]	[32,34,NORMAL]	[33,34,NORMAL]	[34,34,NORMAL]	[35,34,NORMAL]	[36,34,NORMAL]	[37,34,NORMAL]	[38,34,NORMAL]	[39,34,NORMAL]	[40,34,NORMAL]	[41,34,NORMAL]	[42,34,NORMAL]	[43,34,NORMAL]	[44,34,NORMAL]
[0,35,NORMAL]	[1,35,NORMAL]	[2,35,NORMAL]	[3,35,NORMAL]	[4,35,NORMAL]	[5,35,NORMAL]	[6,35,NORMAL]	[7,35,NORMAL]	[8,35,NORMAL]	[9,35,NORMAL]	[10,35,NORMAL]	[11,35,NORMAL]	[12,35,NORMAL]	[13,35,NORMAL]	[14,35,NORMAL]	[15,35,NORMAL]	[16,35,NORMAL]	[17,35,NORMAL]	[18,35,NORMAL]	[19,35,NORMAL]	[20,35,NORMAL]	[21,35,NORMAL]	[22,35,NORMAL]	[23,35,NORMAL]	[24,35,NORMAL]	[25,35,NORMAL]	[26,35,NORMAL]	[27,35,NORMAL]	[28,35,NORMAL]	[29,35,NORMAL]	[30,35,NORMAL]	[31,35,NORMAL]	[32,35,NORMAL]	[33,35,NORMAL]	[34,35,NORMAL]	[35,35,NORMAL]	[36,35,NORMAL]	[37,35,NORMAL]	[38,35,NORMAL]	[39,35,NORMAL]	[40,35,NORMAL]	[41,35,NORMAL]	[42,35,NORMAL]	[43,35,NORMAL]	[44,35,NORMAL]
[0,36,NORMAL]	[1,36,NORMAL]	[2,36,NORMAL]	[3,36,NORMAL]	[4,36,NORMAL]	[5,36,NORMAL]	[6,36,NORMAL]	[7,36,NORMAL]	[8,36,NORMAL]	[9,36,NORMAL]	[10,36,NORMAL]	[11,36,NORMAL]	[12,36,NORMAL]	[13,36,NORMAL]	[14,36,NORMAL]	[15,36,NORMAL]	[16,36,NORMAL]	[17,36,NORMAL]	[18,36,NORMAL]	[19,36,NORMAL]	[20,36,NORMAL]	[21,36,NORMAL]	[22,36,NORMAL]	[23,36,NORMAL]	[24,36,NORMAL]	[25,36,NORMAL]	[26,36,NORMAL]	[27,36,NORMAL]	[28,36,NORMAL]	[29,36,NORMAL]	[30,36,NORMAL]	[31,36,NORMAL]	[32,36,NORMAL]	[33,36,NORMAL]	[34,36,NORMAL]	[35,36,NORMAL]	[36,36,NORMAL]	[37,36,NORMAL]	[38,36,NORMAL]	[39,36,NORMAL]	[40,36,NORMAL]	[41,36,NORMAL]	[42,36,NORMAL]	[43,36,NORMAL]	[44,36,NORMAL]
[0,37,NORMAL]	[1,37,NORMAL]	[2,37,NORMAL]	[3,37,NORMAL]	[4,37,NORMAL]	[5,37,NORMAL]	[6,37,NORMAL]	[7,37,NORMAL]	[8,37,NORMAL]	[9,37,NORMAL]	[10,37,NORMAL]	[11,37,NORMAL]	[12,37,NORMAL]	[13,37,NORMAL]	[14,37,NORMAL]	[15,37,NORMAL]	[16,37,NORMAL]	[17,37,NORMAL]	[18,37,NORMAL]	[19,37,NORMAL]	[20,37,NORMAL]	[21,37,NORMAL]	[22,37,NORMAL]	[23,37,NORMAL]	[24,37,NORMAL]	[25,37,NORMAL]	[26,37,NORMAL]	[27,37,NORMAL]	[28,37,NORMAL]	[29,37,NORMAL]	[30,37,NORMAL]	[31,37,NORMAL]	[32,37,NORMAL]	[33,37,NORMAL]	[34,37,NORMAL]	[35,37,NORMAL]	[36,37,NORMAL]	[37,37,NORMAL]	[38,37,NORMAL]	[39,37,NORMAL]	[40,37,NORMAL]	[41,37,NORMAL]	[42,37,NORMAL]	[43,37,NORMAL]	[44,37,NORMAL]
[0,38,NORMAL]	[1,38,NORMAL]	[2,38,NORMAL]	[3,38,NORMAL]	[4,38,NORMAL]	[5,38,NORMAL]	[6,38,NORMAL]	[7,38,NORMAL]	[8,38,NORMAL]	[9,38,NORMAL]	[10,38,NORMAL]	[11,38,NORMAL]	[12,38,NORMAL]	[13,38,NORMAL]	[14,38,NORMAL]	[15,38,NORMAL]	[16,38,NORMAL]	[17,38,NORMAL]	[18,38,NORMAL]	[19,38,NORMAL]	[20,38,NORMAL]	[21,38,NORMAL]	[22,38,NORMAL]	[23,38,NORMAL]	[24,38,NORMAL]	[25,38,NORMAL]	[26,38,NORMAL]	[27,38,NORMAL]	[28,38,NORMAL]	[29,38,NORMAL]	[30,38,NORMAL]	[31,38,NORMAL]	[32,38,NORMAL]	[33,38,NORMAL]	[34,38,NORMAL]	[35,38,NORMAL]	[36,38,NORMAL]	[37,38,NORMAL]	[38,38,NORMAL]	[39,38,NORMAL]	[40,38,NORMAL]	[41,38,NORMAL]	[42,38,NORMAL]	[43,38,NORMAL]	[44,38,NORMAL]
[0,39,NORMAL]	[1,39,NORMAL]	[2,39,NORMAL]	[3,39,NORMAL]	[4,39,NORMAL]	[5,39,NORMAL]	[6,39,NORMAL]	[7,39,NORMAL]	[8,39,NORMAL]	[9,39,NORMAL]	[10,39,NORMAL]	[11,39,NORMAL]	[12,39,NORMAL]	[13,39,NORMAL]	[14,39,NORMAL]	[15,39,NORMAL]	[16,39,NORMAL]	[17,39,NORMAL]	[18,39,NORMAL]	[19,39,NORMAL]	[20,39,NORMAL]	[21,39,NORMAL]	[22,39,NORMAL]	[23,39,NORMAL]	[24,39,NORMAL]	[25,39,NORMAL]	[26,39,NORMAL]	[27,39,NORMAL]	[28,39,NORMAL]	[29,39,NORMAL]	[30,39,NORMAL]	[31,39,NORMAL]	[32,39,NORMAL]	[33,39,NORMAL]	[34,39,NORMAL]	[35,39,NORMAL]	[36,39,NORMAL]	[37,39,NORMAL]	[38,39,NORMAL]	[39,39,NORMAL]	[40,39,NORMAL]	[41,39,NORMAL]	[42,39,NORMAL]	[43,39,NORMAL]	[44,39,NORMAL]
[0,40,NORMAL]	[1,40,NORMAL]	[2,40,NORMAL]	[3,40,NORMAL]	[4,40,NORMAL]	[5,40,NORMAL]	[6,40,NORMAL]	[7,40,NORMAL]	[8,40,NORMAL]	[9,40,NORMAL]	[10,40,NORMAL]	[11,40,NORMAL]	[12,40,NORMAL]	[13,40,NORMAL]	[14,40,NORMAL]	[15,40,NORMAL]	[16,40,NORMAL]	[17,40,NORMAL]	[18,40,NORMAL]	[19,40,NORMAL]	[20,40,NORMAL]	[21,40,NORMAL]	[22,40,NORMAL]	[23,40,NORMAL]	[24,40,NORMAL]	[25,40,NORMAL]	[26,40,NORMAL]	[27,40,NORMAL]	[28,40,NORMAL]	[29,40,NORMAL]	[30,40,NORMAL]	[31,40,NORMAL]	[32,40,NORMAL]	[33,40,NORMAL]	[34,40,NORMAL]	[35,40,NORMAL]	[36,40,NORMAL]	[37,40,NORMAL]	[38,40,NORMAL]	[39,40,NORMAL]	[40,40,NORMAL]	[41,40,NORMAL]	[42,40,NORMAL]	[43,40,NORMAL]	[44,40,NORMAL]
[0,41,NORMAL]	[1,41,NORMAL]	[2,41,NORMAL]	[3,41,NORMAL]	[4,41,NORMAL]	[5,41,NORMAL]	[6,41,NORMAL]	[7,41,NORMAL]	[8,41,NORMAL]	[9,41,NORMAL]	[10,41,NORMAL]	[11,41,NORMAL]	[12,41,NORMAL]	[13,41,NORMAL]	[14,41,NORMAL]	[15,41,NORMAL]	[16,41,NORMAL]	[17,41,NORMAL]	[18,41,NORMAL]	[19,41,NORMAL]	[20,41,NORMAL]	[21,41,NORMAL]	[22,41,NORMAL]	[23,41,NORMAL]	[24,41,NORMAL]	[25,41,NORMAL]	[26,41,NORMAL]	[27,41,NORMAL]	[28,41,NORMAL]	[29,41,NORMAL]	[30,41,NORMAL]	[31,41,NORMAL]	[32,41,NORMAL]	[33,41,NORMAL]	[34,41,NORMAL]	[35,41,NORMAL]	[36,41,NORMAL]	[37,41,NORMAL]	[38,41,NORMAL]	[39,41,NORMAL]	[40,41,NORMAL]	[41,41,NORMAL]	[42,41,NORMAL]	[43,41,NORMAL]	[44,41,NORMAL]
[0,42,NORMAL]	[1,42,NORMAL]	[2,42,NORMAL]	[3,42,NORMAL]	[4,42,NORMAL]	[5,42,NORMAL]	[6,42,NORMAL]	[7,42,NORMAL]	[8,42,NORMAL]	[9,42,NORMAL]	[10,42,NORMAL]	[11,42,NORMAL]	[12,42,NORMAL]	[13,42,NORMAL]	[14,42,NORMAL]	[15,42,NORMAL]	[16,42,NORMAL]	[17,42,NORMAL]	[18,42,NORMAL]	[19,42,NORMAL]	[20,42,NORMAL]	[21,42,NORMAL]	[22,42,NORMAL]	[23,42,NORMAL]	[24,42,NORMAL]	[25,42,NORMAL]	[26,42,NORMAL]	[27,42,NORMAL]	[28,42,NORMAL]	[29,42,NORMAL]	[30,42,NORMAL]	[31,42,NORMAL]	[32,42,NORMAL]	[33,42,NORMAL]	[34,42,NORMAL]	[35,42,NORMAL]	[36,42,NORMAL]	[37,42,NORMAL]	[38,42,NORMAL]	[39,42,NORMAL]	[40,42,NORMAL]	[41,42,NORMAL]	[42,42,NORMAL]	[43,42,NORMAL]	[44,42,NORMAL]
[0,43,NORMAL]	[1,43,NORMAL]	[2,43,NORMAL]	[3,43,NORMAL]	[4,43,NORMAL]	[5,43,NORMAL]	[6,43,NORMAL]	[7,43,NORMAL]	[8,43,NORMAL]	[9,43,NORMAL]	[10,43,NORMAL]	[11,43,NORMAL]	[12,43,NORMAL]	[13,43,NORMAL]	[14,43,NORMAL]	[15,43,NORMAL]	[16,43,NORMAL]	[17,43,NORMAL]	[18,43,NORMAL]	[19,43,NORMAL]	[20,43,NORMAL]	[21,43,NORMAL]	[22,43,NORMAL]	[23,43,NORMAL]	[24,43,NORMAL]	[25,43,NORMAL]	[26,43,NORMAL]	[27,43,NORMAL]	[28,43,NORMAL]	[29,43,NORMAL]	[30,43,NORMAL]	[31,43,NORMAL]	[32,43,NORMAL]	[33,43,NORMAL]	[34,43,NORMAL]	[35,43,NORMAL]	[36,43,NORMAL]	[37,43,NORMAL]	[38,43,NORMAL]	[39,43,NORMAL]	[40,43,NORMAL]	[41,43,NORMAL]	[42,43,NORMAL]	[43,43,NORMAL]	[44,43,NORMAL]
[0,44,NORMAL]	[1,44,NORMAL]	[2,44,NORMAL]	[3,44,NORMAL]	[4,44,NORMAL]	[5,44,NORMAL]	[6,44,NORMAL]	[7,44,NORMAL]	[8,44,NORMAL]	[9,44,NORMAL]	[10,44,NORMAL]	[11,44,NORMAL]	[12,44,NORMAL]	[13,44,NORMAL]	[14,44,NORMAL]	[15,44,NORMAL]	[16,44,NORMAL]	[17,44,NORMAL]	[18,44,NORMAL]	[19,44,NORMAL]	[20,44,NORMAL]	[21,44,NORMAL]	[22,44,NORMAL]	[23,44,NORMAL]	[24,44,NORMAL]	[25,44,NORMAL]	[26,44,NORMAL]	[27,44,NORMAL]	[28,44,NORMAL]	[29,44,NORMAL]	[30,44,NORMAL]	[31,44,NORMAL]	[32,44,NORMAL]	[33,44,NORMAL]	[34,44,NORMAL]	[35,44,NORMAL]	[36,44,NORMAL]	[37,44,NORMAL]	[38,44,NORMAL]	[39,44,NORMAL]	[40,44,NORMAL]	[41,44,NORMAL]	[42,44,NORMAL]	[43,44,NORMAL]	[44,44,END]
